x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
2.9448747562256865,3.016737021460594,3.1096765920906226,2.902558453331046,3.0090864592393385,3.043441214028592,3.00633473435967,3.057962993178361,3.046888148863753,3.1098062969118967,3.2303577348302968,3.3361517990860112,3.059484667799585,4.289821286526224,3.3450789067661626,3.252696151097134,3.346198083639553,3.4231262125107587,2.918731782360589,2.982097014980677,3.0756005104023947,2.91480010385451,3.0241807418113638,3.125970696001251,3.0406798115006644,3.124385758093258,3.257581602718287
4.327089130365008,2.870684895540805,2.7701000921721146,3.0638102790693114,2.8317495212610413,2.759003304035527,2.8163988921315033,2.781783485442804,2.755765241639944,3.144276570812255,2.770960517087907,2.6332336987886613,2.9476214169178334,2.792062857462127,2.707555004959723,2.862481359640313,2.8159264301563436,2.770335115032463,2.925343112974929,2.68135293651314,2.5674106942677213,2.900215093424932,2.757647960168731,2.6867726862967136,2.906970652842605,2.8235494705464514,2.7860760918798686
4.263540156414709,3.2186643856174375,3.4224857458757496,3.099763686047277,3.152117976842925,3.272329233569805,2.832472317988904,2.8867059641552344,2.9478754829742315,2.9447873035990795,3.0537976751884717,3.111757934427784,2.8171114996183135,2.9337259186888396,3.067568969975146,2.7883920926187034,2.9052982279373536,3.0544808904498533,2.7957006595150427,2.8708368264114403,2.9734951456028123,2.676445834139907,2.814098506730722,2.9906730773505323,2.6897562296103006,2.864885362581764,3.097500372213903
4.3109438941182345,2.875527895946876,2.7848421638120073,3.177560681237339,2.940759623056463,2.796353949558165,3.1220725597514147,3.06324459700441,2.828283253596947,3.0809782461794355,2.7905617791937454,2.687677253014289,3.0292623133180077,2.903971064944511,2.845003224525747,3.201715098229032,3.055291977463909,3.01070573086207,2.8741629722237136,2.718001563225676,2.641461455975259,2.8904729258068116,2.8716170745309917,2.8783623700419527,3.022398616511283,3.0236781899423297,3.1125476964186563
4.302903741347678,3.009169558416772,2.9340704326342153,2.8850378488777237,2.833104594077731,2.8351804049406666,2.752202284680257,2.729778014232712,2.7468825158835397,3.338597447993434,3.1189538963234438,2.9612623112200787,2.954111859979237,2.8795240185863706,2.8605862215238123,2.8421177351664606,2.7997517052279672,2.831870086406374,3.423046071188308,3.0947406134422413,2.9690138714856054,3.06691486954845,2.973930977577668,2.970309797204826,2.95965586613313,2.963627758387754,3.0415721513343112
4.263540156414709,3.2186643856174375,3.4224857458757496,3.099763686047277,3.152117976842925,3.272329233569805,2.832472317988904,2.8867059641552344,2.9478754829742315,2.9447873035990795,3.0537976751884717,3.111757934427784,2.8171114996183135,2.9337259186888396,3.067568969975146,2.7883920926187034,2.9052982279373536,3.0544808904498533,2.7957006595150427,2.8708368264114403,2.9734951456028123,2.676445834139907,2.814098506730722,2.9906730773505323,2.6897562296103006,2.864885362581764,3.097500372213903
4.3109438941182345,2.875527895946876,2.7848421638120073,3.177560681237339,2.940759623056463,2.796353949558165,3.1220725597514147,3.06324459700441,2.828283253596947,3.0809782461794355,2.7905617791937454,2.687677253014289,3.0292623133180077,2.903971064944511,2.845003224525747,3.201715098229032,3.055291977463909,3.01070573086207,2.8741629722237136,2.718001563225676,2.641461455975259,2.8904729258068116,2.8716170745309917,2.8783623700419527,3.022398616511283,3.0236781899423297,3.1125476964186563
4.302903741347678,3.009169558416772,2.9340704326342153,2.8850378488777237,2.833104594077731,2.8351804049406666,2.752202284680257,2.729778014232712,2.7468825158835397,3.338597447993434,3.1189538963234438,2.9612623112200787,2.954111859979237,2.8795240185863706,2.8605862215238123,2.8421177351664606,2.7997517052279672,2.831870086406374,3.423046071188308,3.0947406134422413,2.9690138714856054,3.06691486954845,2.973930977577668,2.970309797204826,2.95965586613313,2.963627758387754,3.0415721513343112
4.271941001335853,3.1342289815985187,3.3728179548705075,3.101932643951268,3.169235865981203,3.2895093927261803,2.9031059995740818,3.0655008374035875,3.1089208848277363,2.8590629175410833,2.862019943815741,3.0255224494353716,2.8564639143406825,3.0002967720654676,3.1505675653112797,2.9616326515094347,3.235637259084131,3.3830027508194807,2.730498945246221,2.7376698586163912,2.888148631774551,2.7440820325078725,2.8501247687080475,3.007418504461795,2.906501855233225,3.05772200574193,3.227876446942072
4.314265246992728,2.865174689356009,2.772892824224066,3.1082397959306656,2.8481117854109224,2.7868154569509365,2.965330614200689,2.8493287543152324,2.82998870587135,3.2781195950278494,2.8438220368165945,2.7065111445176084,3.1656277506995467,2.869384865308733,2.7895599488982508,3.268243058796105,2.9688987132527167,2.909458361576679,3.3642125327231893,2.9140614405038576,2.7635354411034116,3.313033453842647,2.9081670952950858,2.8047254141013727,3.370574766539956,2.961385079590545,2.8700454639756137
