action_ind
6
3
4
1
5
4
1
5
6
3
4
6
2
4
2
4
4
4
6
4
4
6
4
4
4
4
1
4
2
4
6
2
4
6
4
4
6
2
4
6
6
6
6
4
2
4
2
6
2
2
3
6
