action_ind
4
1
6
4
2
6
3
1
5
3
4
5
2
6
4
4
6
4
6
6
4
6
6
4
4
6
4
5
1
4
6
4
6
4
6
6
1
6
6
4
4
6
6
6
1
2
5
4
4
2
2
6
