Problem,Short_Name,Solution,Reward,Information_Function,Uncertainty_Size,Dynamics,ID,ExpectedValue,SimMean,SimStd,CorrectMean,CorrectStd
Tiger,tiger,Standard,Standard,NA,0.0,Nominal,1,1.9310012466660131,1.8563277546963526,10.018646603207527,0.742439024390244,0.09088134013603404
Tiger,tiger,Standard,Standard,NA,0.025,Ambiguous,2,1.9310012466660131,-0.17866380902200382,14.867476423510682,0.6917073170731706,0.06752034293401714
Tiger,tiger,Standard,Standard,NA,0.1,Ambiguous,3,1.9310012466660131,-14.39291379266443,20.81188695875778,0.637560975609756,0.09231937289886205
Tiger,tiger,Standard,Standard,NA,0.3,Ambiguous,4,1.9310012466660131,-22.455863866666377,27.658556231232556,0.6321951219512194,0.10404533578168107
Tiger,tiger,Standard,Information,Simple,0.0,Nominal,5,2.672693030155068,2.762348560793605,0.18771249377627214,0.9604878048780489,0.011958886621415003
Tiger,tiger,Standard,Information,Simple,0.025,Ambiguous,6,2.672693030155068,2.628066057866558,0.34649809967113593,0.766341463414634,0.2200971135206152
Tiger,tiger,Standard,Information,Simple,0.1,Ambiguous,7,2.672693030155068,2.3066065549031096,0.46949320476761247,0.41707317073170735,0.18977555911005187
Tiger,tiger,Standard,Information,Simple,0.3,Ambiguous,8,2.672693030155068,2.058645543180413,0.407479904239378,0.34731707317073174,0.15039677276489238
Tiger,tiger,Standard,Information,Approximate Entropy,0.0,Nominal,9,3.335372931036506,3.343630073326905,0.14655571834217873,0.948780487804878,0.08055489910590169
Tiger,tiger,Standard,Information,Approximate Entropy,0.025,Ambiguous,10,3.335372931036506,3.307449331732373,0.15446781194750409,0.7453658536585366,0.23259816695524343
Tiger,tiger,Standard,Information,Approximate Entropy,0.1,Ambiguous,11,3.335372931036506,3.2230401249588994,0.21272882673564153,0.3502439024390245,0.17894352326487675
Tiger,tiger,Standard,Information,Approximate Entropy,0.3,Ambiguous,12,3.335372931036506,3.159862012598483,0.22774551101961232,0.16536585365853662,0.10921997260555168
Tiger,tiger,Robust,Standard,NA,0.025,Nominal,13,-0.09916908443977415,-1.0257560679605304,16.057190624472817,0.7414634146341463,0.06738355263349727
Tiger,tiger,Robust,Standard,NA,0.025,Ambiguous,14,-0.09916908443977415,-3.9220661986532708,16.810315809057496,0.7068292682926828,0.06509061462324994
Tiger,tiger,Robust,Standard,NA,0.1,Nominal,15,-3.5727512585355905,-0.1353657220970323,6.574638523482807,0.8048780487804877,0.06252389702064934
Tiger,tiger,Robust,Standard,NA,0.1,Ambiguous,16,-3.5727512585355905,-6.657356366287392,11.867333324418984,0.6341463414634145,0.10312647098918984
Tiger,tiger,Robust,Standard,NA,0.3,Nominal,17,-3.9975379738223906,-3.9999597736593535,8.97195690676443e-16,0.8858536585365853,0.09623791777913347
Tiger,tiger,Robust,Standard,NA,0.3,Ambiguous,18,-3.9975379738223906,-3.9999597736593535,8.97195690676443e-16,0.7253658536585366,0.10600698146795823
Tiger,tiger,Robust,Information,Simple,0.025,Nominal,19,2.4553411374235568,2.512538563395479,0.308593566740068,0.9434146341463416,0.033939500102817884
Tiger,tiger,Robust,Information,Simple,0.025,Ambiguous,20,2.4553411374235568,2.4172471140794847,0.35050277300341476,0.8995121951219514,0.049921936414138855
Tiger,tiger,Robust,Information,Simple,0.1,Nominal,21,1.7868279011716748,2.231488486872008,0.25718380146646025,0.9517073170731707,0.021188565568656104
Tiger,tiger,Robust,Information,Simple,0.1,Ambiguous,22,1.7868279011716748,1.6913413592322584,0.28749764314476695,0.7248780487804879,0.1177514778279271
Tiger,tiger,Robust,Information,Simple,0.3,Nominal,23,0.9034058553208795,0.2937609257077817,0.18096830014137155,0.9463414634146341,0.030772685945393185
Tiger,tiger,Robust,Information,Simple,0.3,Ambiguous,24,0.9034058553208795,0.1367430749010974,0.04702883900040978,0.6190243902439024,0.10024796558068741
Tiger,tiger,Robust,Information,Approximate Entropy,0.025,Nominal,25,3.226256187004653,3.308692189882666,0.10827959492120003,0.9468292682926829,0.03644072952845268
Tiger,tiger,Robust,Information,Approximate Entropy,0.025,Ambiguous,26,3.226256187004653,3.22106015037365,0.15403164232188418,0.8917073170731709,0.07057964120860406
Tiger,tiger,Robust,Information,Approximate Entropy,0.1,Nominal,27,2.891745809255522,3.0780869802526785,0.15937889837735641,0.9478048780487804,0.02743999223999605
Tiger,tiger,Robust,Information,Approximate Entropy,0.1,Ambiguous,28,2.891745809255522,2.8720850407857945,0.17434415970647674,0.6990243902439025,0.0904058654497333
Tiger,tiger,Robust,Information,Approximate Entropy,0.3,Nominal,29,2.4611515740004553,2.1419938460262595,0.07046047357691582,0.9419512195121951,0.03515194228610895
Tiger,tiger,Robust,Information,Approximate Entropy,0.3,Ambiguous,30,2.4611515740004553,2.0776524746430938,0.028049587715076162,0.6160975609756097,0.10508678453540357
