ID,ExpValue,SimMean,SimStd,SimCI,SimPercentMean,SimPercentStd,SimPercentCI,SimProb
Nominal,4.327089130365008,4.742193959739443,0.0460983628857655,"(4.689975521581257, 4.794412397897629)",0.13043478260869565,0.05751633284923023,"(0.06528251077171479, 0.1955870544456765)",Robust
Robust,2.232428082600289,3.5759398230752475,0.6074951375594232,"(2.8877928849582544, 4.264086761192241)",0.2318840579710145,0.08785764965929087,"(0.13236231884057972, 0.33140579710144924)",Robust
OffNominal,3.29116022951646,3.9694820622910325,0.5360595695777521,"(3.362254565894553, 4.5767095586875115)",0.2028985507246377,0.07634531704965752,"(0.116417535619963, 0.2893795658293124)",Robust
