action_ind
6
3
5
6
5
6
1
3
6
3
4
2
2
4
3
2
4
4
6
2
6
2
3
2
3
2
3
2
3
3
6
3
6
3
3
4
3
2
4
4
4
3
3
1
3
5
4
4
3
3
5
3
