x1,x2,x3,x4,x5,x6
1.0,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701
2.0,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701
3.0,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701
4.0,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701
5.0,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701
6.0,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701
7.0,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701
8.0,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701
9.0,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701
10.0,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701
11.0,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701
12.0,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701,63.39676587267701
13.0,63.39368509404669,63.39399219459552,63.3917737163446,63.39549041903982,63.393510557253656
14.0,63.38948091905983,63.3932171161724,63.3951125030778,63.36710202761588,63.39568360451396
15.0,63.391528369177315,63.38929099284783,63.39020244535669,63.39290183630756,63.389594641667074
16.0,63.39534563285716,63.39451153013486,63.39332407434224,63.39184468901198,63.39559884437014
17.0,63.392469452247504,63.3916743294837,63.39217758397387,63.391643680450315,63.39235281776519
18.0,63.38816830628994,63.39257821300006,63.3891188601435,63.38620065106528,63.392809564388905
19.0,63.38825286374892,63.395028641235925,63.39320571317959,63.395641217898756,63.39151712685131
20.0,63.38873170865423,63.3925023107439,63.39443136801845,63.31392692845279,63.386043591999275
21.0,63.389701040572824,63.389701040572824,63.389701040572824,63.389701040572824,63.389701040572824
22.0,63.389701040572824,63.389701040572824,63.389701040572824,63.389701040572824,63.389701040572824
23.0,63.37090627982319,63.38732285512406,63.37947579919263,63.3741256514801,63.38747327131671
24.0,63.35768307501469,63.34362593778436,63.37698597485696,63.356045697011226,63.38068376013653
25.0,63.35150564394789,63.334256586648785,63.38686377764463,63.32707150386182,63.3436004399943
26.0,63.34433682490135,63.33670776496721,63.37677932894953,63.365573653711365,63.36145225053962
27.0,63.33852813824252,63.33852813824252,63.33852813824252,63.33852813824252,63.33852813824252
28.0,63.33852813824252,63.33852813824252,63.33852813824252,63.33852813824252,63.33852813824252
29.0,63.33853040252013,63.33853040252013,63.33853040252013,63.33853040252013,63.33853040252013
30.0,63.33853040252013,63.33853040252013,63.33853040252013,63.33853040252013,63.33853040252013
31.0,63.338532620640095,63.338532620640095,63.338532620640095,63.338532620640095,63.338532620640095
32.0,63.338532620640095,63.338532620640095,63.338532620640095,63.338532620640095,63.338532620640095
