Problem,Short_Name,Solution,Reward,Information_Function,Uncertainty_Size,Dynamics,ID,ExpectedValue,SimMean,SimStd,SimCI,CorrectMean,CorrectStd,CorrectCI
SimpleTiger,simpletiger,Standard,Standard,NA,0.0,Nominal,1,19.247,15.595,31.898,"(9.337, 21.854)",0.746,0.05,"(0.737, 0.756)"
SimpleTiger,simpletiger,Standard,Standard,NA,0.001,Ambiguous,2,19.247,13.295,33.437,"(6.735, 19.856)",0.736,0.053,"(0.725, 0.746)"
SimpleTiger,simpletiger,Standard,Standard,NA,0.01,Ambiguous,3,19.247,17.448,30.274,"(11.508, 23.388)",0.749,0.048,"(0.74, 0.758)"
SimpleTiger,simpletiger,Standard,Standard,NA,0.1,Ambiguous,4,19.247,-11.095,40.672,"(-19.075, -3.115)",0.689,0.058,"(0.678, 0.7)"
SimpleTiger,simpletiger,Standard,Standard,NA,0.2,Ambiguous,5,19.247,-85.698,67.363,"(-98.914, -72.481)",0.617,0.072,"(0.603, 0.631)"
SimpleTiger,simpletiger,Robust,Standard,NA,0.001,Nominal,6,18.934,19.931,26.278,"(14.776, 25.087)",0.739,0.036,"(0.732, 0.746)"
SimpleTiger,simpletiger,Robust,Standard,NA,0.001,Ambiguous,7,18.934,19.261,27.92,"(13.783, 24.739)",0.742,0.04,"(0.734, 0.75)"
SimpleTiger,simpletiger,Robust,Standard,NA,0.01,Nominal,8,16.049,20.834,28.128,"(15.316, 26.353)",0.744,0.041,"(0.736, 0.752)"
SimpleTiger,simpletiger,Robust,Standard,NA,0.01,Ambiguous,9,16.049,18.575,28.948,"(12.896, 24.255)",0.741,0.036,"(0.734, 0.748)"
SimpleTiger,simpletiger,Robust,Standard,NA,0.1,Nominal,10,-0.519,14.508,5.606,"(13.408, 15.608)",0.825,0.045,"(0.817, 0.834)"
SimpleTiger,simpletiger,Robust,Standard,NA,0.1,Ambiguous,11,-0.519,1.6,18.956,"(-2.12, 5.319)",0.753,0.067,"(0.74, 0.766)"
SimpleTiger,simpletiger,Robust,Standard,NA,0.2,Nominal,12,-13.683,0.389,3.57,"(-0.311, 1.09)",0.876,0.04,"(0.868, 0.884)"
SimpleTiger,simpletiger,Robust,Standard,NA,0.2,Ambiguous,13,-13.683,-13.618,8.268,"(-15.24, -11.996)",0.735,0.115,"(0.713, 0.758)"
