Problem,Short_Name,Solution,Reward,Information_Function,Uncertainty_Size,Dynamics,ID,ExpectedValue,SimMean,SimStd,CorrectMean,CorrectStd
Tiger,tiger,Standard,Standard,NA,0.0,Nominal,1,1.8785540564817138,4.39826739076525,2.762873748336456,0.74375,0.08815543987155511
Tiger,tiger,Standard,Standard,NA,0.025,Ambiguous,2,1.8785540564817138,1.3502550290897488,3.75879897767268,0.6625,0.17372656979469658
Tiger,tiger,Standard,Standard,NA,0.1,Ambiguous,3,1.8785540564817138,-7.607178575359285,19.361948250240065,0.615625,0.12043472516810005
Tiger,tiger,Standard,Standard,NA,0.3,Ambiguous,4,1.8785540564817138,-24.23443900179118,29.21845833243662,0.596875,0.17499412584126178
Tiger,tiger,Standard,Information,Simple,0.0,Nominal,5,2.6183528061097627,2.711810741889514,0.19618174653126635,0.9,0.03739019010100743
Tiger,tiger,Standard,Information,Simple,0.025,Ambiguous,6,2.6183528061097627,2.6242265279163055,0.31475824227604554,0.778125,0.21978140306126664
Tiger,tiger,Standard,Information,Simple,0.1,Ambiguous,7,2.6183528061097627,2.291001851159055,0.4387470713059398,0.615625,0.210023299146096
Tiger,tiger,Standard,Information,Simple,0.3,Ambiguous,8,2.6183528061097627,2.120673766584148,0.5276435910646587,0.375,0.1033962739835639
Tiger,tiger,Standard,Information,Approximate Entropy,0.0,Nominal,9,3.284036624822528,3.2916320569592776,0.13150113546349793,0.896875,0.058331375280420594
Tiger,tiger,Standard,Information,Approximate Entropy,0.025,Ambiguous,10,3.284036624822528,3.2537364279889376,0.1809795689865052,0.784375,0.1714333440360084
Tiger,tiger,Standard,Information,Approximate Entropy,0.1,Ambiguous,11,3.284036624822528,3.071451818900071,0.22379349661046488,0.5125,0.22815766709149088
Tiger,tiger,Standard,Information,Approximate Entropy,0.3,Ambiguous,12,3.284036624822528,2.9563307812934085,0.2267378338628228,0.403125,0.1714333440360084
Tiger,tiger,Robust,Standard,NA,0.025,Nominal,13,-0.03940153893393797,5.214136148244142,1.6405178585379554,0.68125,0.10517060075495382
Tiger,tiger,Robust,Standard,NA,0.025,Ambiguous,14,-0.03940153893393797,-5.306274814717471,22.434388624940144,0.703125,0.10314742579128391
Tiger,tiger,Robust,Standard,NA,0.1,Nominal,15,-3.5013326059969474,0.3059753466397524,2.256293213909518,0.775,0.1118033988749895
Tiger,tiger,Robust,Standard,NA,0.1,Ambiguous,16,-3.5013326059969474,-3.7963959192857146,6.039584287965468,0.61875,0.12968205045620737
Tiger,tiger,Robust,Standard,NA,0.3,Nominal,17,-3.9416503264356626,-3.9465461559593678,0.0,0.85625,0.11841191485212697
Tiger,tiger,Robust,Standard,NA,0.3,Ambiguous,18,-3.9416503264356626,-3.9465461559593678,0.0,0.703125,0.12145465636455269
Tiger,tiger,Robust,Information,Simple,0.025,Nominal,19,2.4103578653301043,2.615040214642426,0.16151851213525592,0.896875,0.04192627457812106
Tiger,tiger,Robust,Information,Simple,0.025,Ambiguous,20,2.4103578653301043,2.4327811686016956,0.30760670002497786,0.840625,0.09396904235466397
Tiger,tiger,Robust,Information,Simple,0.1,Nominal,21,1.757452309038502,2.1324907325976867,0.312350634970219,0.86875,0.04925430785327577
Tiger,tiger,Robust,Information,Simple,0.1,Ambiguous,22,1.757452309038502,1.6311985907918345,0.3757848802388831,0.6625,0.13960706135058987
Tiger,tiger,Robust,Information,Simple,0.3,Nominal,23,0.9091812629860476,0.33012378691480737,0.19174516284661813,0.86875,0.09489433181453102
Tiger,tiger,Robust,Information,Simple,0.3,Ambiguous,24,0.9091812629860476,0.1446977921347013,0.034828517788104994,0.615625,0.17940302137630618
Tiger,tiger,Robust,Information,Approximate Entropy,0.025,Nominal,25,3.1785313128782122,3.237031252830655,0.10856640515422554,0.90625,0.037936061166680246
Tiger,tiger,Robust,Information,Approximate Entropy,0.025,Ambiguous,26,3.1785313128782122,3.1981156768990524,0.13887137500133206,0.8,0.10259783520851541
Tiger,tiger,Robust,Information,Approximate Entropy,0.1,Nominal,27,2.8515534707373513,3.03103997508791,0.13045775679692578,0.9,0.042534815461170036
Tiger,tiger,Robust,Information,Approximate Entropy,0.1,Ambiguous,28,2.8515534707373513,2.8222098230681016,0.16937744298340468,0.70625,0.13312415060267693
Tiger,tiger,Robust,Information,Approximate Entropy,0.3,Nominal,29,2.4265462203457715,2.1150938141164457,0.07064793987416658,0.890625,0.06040910418489131
Tiger,tiger,Robust,Information,Approximate Entropy,0.3,Ambiguous,30,2.4265462203457715,2.0357162436378893,0.011384038969452883,0.55625,0.14466954176947364
