NominalSim,RobustSim,OffNominal
3.010599930380751,2.9273104241606167,3.010599930380751
2.148834757717518,2.9075397669404355,2.148834757717518
2.9890991575704553,2.740656556375161,2.9890991575704553
3.279657926048377,3.6180591215692455,3.279657926048377
2.972837579143875,2.6737044139471524,2.972837579143875
2.4633408677476667,3.00303550170645,2.4633408677476667
3.0689899306162154,3.20418565847369,3.0689899306162154
3.572776871677889,2.4829226797485933,3.572776871677889
3.161100501598215,2.7493255936482393,3.161100501598215
3.2684217536856313,3.0759546736946444,3.2684217536856313
