NominalSim,RobustSim,OffNominal
1.7501305622351992,1.7258494296872473,1.7501305622351992
1.7739194359238724,1.8148598636652553,1.7739194359238724
1.6461075248058807,2.18083710504095,1.6461075248058807
1.7621880657432871,1.915933060907655,1.7621880657432871
1.6642045743540965,1.8071157854071762,1.6642045743540965
1.675175874695459,2.2056277426182214,1.675175874695459
1.7739352196161233,1.799673847148289,1.7739352196161233
1.752156428836381,1.8644399125340774,1.752156428836381
1.728930720183687,2.2424025868561457,1.728930720183687
1.8011792689074932,2.370034628919215,1.8011792689074932
1.61832854307477,2.046631707978528,1.61832854307477
1.6158679361430863,1.738022569742409,1.6158679361430863
1.8238453222152942,1.8350079618265702,1.8238453222152942
1.6500631294373218,1.8860342584745617,1.6500631294373218
1.7581930951392468,1.7677080816682034,1.7581930951392468
1.6601116302564602,2.275644745506474,1.6601116302564602
1.7359469523199589,1.8512609935695794,1.7359469523199589
1.8076386022066981,1.797482431985118,1.8076386022066981
1.6662308854382613,1.8703280099098112,1.6662308854382613
1.6571739943336945,1.7521814225324255,1.6571739943336945
1.6256323189861752,1.7667202030634492,1.6256323189861752
1.8272566915286916,1.8659222708588152,1.8272566915286916
1.7552712683622897,2.1384687986103197,1.7552712683622897
1.6613972011129399,1.8420502396310567,1.6613972011129399
1.6742777655141794,2.101773702113443,1.6742777655141794
1.6259201663631035,2.025790533172259,1.6259201663631035
1.827650772355727,1.7160435126432814,1.827650772355727
1.7173709483747175,1.884823611487202,1.7173709483747175
1.8108838946084516,1.8184519813519413,1.8108838946084516
1.6195248951271597,1.7744362803362252,1.6195248951271597
1.6850909349679022,1.7219878085637166,1.6850909349679022
1.7112890688837619,1.8357622087492655,1.7112890688837619
1.7391715336254066,2.2555350703526633,1.7391715336254066
1.6883448656686453,2.0993180280437604,1.6883448656686453
1.6829997945195627,2.116739506762851,1.6829997945195627
1.6264301738455549,3.1045120367209846,1.6264301738455549
1.6599550327607104,1.8779565145193853,1.6599550327607104
1.7857989981225562,1.857565539458888,1.7857989981225562
1.7202492672916267,1.8462524756980405,1.7202492672916267
1.6843993951768803,2.080427556517115,1.6843993951768803
