x1,x2,x3,x4
1.0,3.714891653733433,3.7122948217507217,3.734136445424958
2.0,3.723744041668379,3.727389627694916,3.7564619844586895
3.0,3.755998986759675,3.7526771417234164,3.7491366241572583
4.0,3.733852314758321,3.7320957794112126,3.755915545268793
5.0,3.7475285229451503,3.7432734045990768,3.7388068813729776
6.0,3.6373473066106987,3.7462925186220852,3.7444408398724156
7.0,3.7608045809887107,3.7418089994139536,3.759891145951176
8.0,3.7392435261105446,3.6088661624426734,3.7277566215848994
9.0,3.7475947063327757,3.644301021057612,3.61185456922023
10.0,3.6208238659660084,3.6871295108232083,3.6903482104240926
