NominalSim,RobustSim,OffNominal
3.0509115327172944,2.3684285824299285,3.0509115327172944
2.233541453075728,2.565126100894157,2.233541453075728
3.0156059117015888,2.695844141669885,3.0156059117015888
3.298503417407913,3.06104996215089,3.298503417407913
2.6876060399538497,3.0190106325216965,2.6876060399538497
2.738671733680818,2.5106256582859374,2.738671733680818
3.133957400453184,3.1066073597976733,3.133957400453184
3.5730378104414378,3.1021899527831684,3.5730378104414378
3.140907548863809,2.618351461302942,3.140907548863809
3.3194987803222484,2.8498716704942653,3.3194987803222484
3.087393738466355,2.634605761143611,3.087393738466355
3.181642874102498,3.4390516891681706,3.181642874102498
3.0430949793865523,2.6535176007731422,3.0430949793865523
3.615851159518347,2.6301719406433954,3.615851159518347
2.7835772478366088,2.3683683512195444,2.7835772478366088
3.0515683534482347,2.3733661057249202,3.0515683534482347
3.1882876399494777,2.5916173458392042,3.1882876399494777
2.355644049243141,3.1140713410475938,2.355644049243141
2.5547746922689174,2.832391035213551,2.5547746922689174
3.2243368833468784,3.111266836106629,3.2243368833468784
