NominalSim,RobustSim
2.4579583869820727,2.200290307117755
2.2460475091804812,2.390356442791521
2.299889829720705,2.008282512566116
2.4461624847275942,2.0255662800647585
2.2094731662273253,2.204804473071055
2.435292849888101,1.9773406249683316
2.119224524107426,2.228699269485288
2.337850939538138,2.0246440380852757
2.4821314876199154,2.1835513225895578
2.158178922641177,2.102342095267505
2.264349271551012,2.131154532903256
2.3163957871429357,2.2137816168058877
2.3305220770413286,2.277951704913765
2.398952840407481,2.19411887045237
2.386313097749156,1.9152807011723811
