Problem,Short_Name,Solution,Reward,Information_Function,Uncertainty_Size,Dynamics,ID,ExpectedValue,SimMean,SimStd
Tiger,tiger,Standard,Standard,NA,0.0,Nominal,1,1.5977182852940253,4.23788806803051,2.293947423905126
Tiger,tiger,Standard,Standard,NA,0.025,Ambiguous,2,1.5977182852940253,-8.111823021341964,27.61169446869473
Tiger,tiger,Standard,Standard,NA,0.1,Ambiguous,3,1.5977182852940253,4.036097519664374,3.602512270910607
Tiger,tiger,Standard,Standard,NA,0.3,Ambiguous,4,1.5977182852940253,-15.795448627800777,28.605794871504884
Tiger,tiger,Standard,Information,Simple,0.0,Nominal,5,2.2399800935020657,2.6001651741490983,0.2998216898241026
Tiger,tiger,Standard,Information,Simple,0.025,Ambiguous,6,2.2399800935020657,2.383311910703789,0.48375199111307954
Tiger,tiger,Standard,Information,Simple,0.1,Ambiguous,7,2.2399800935020657,2.2422823875845594,0.6664760768972259
Tiger,tiger,Standard,Information,Simple,0.3,Ambiguous,8,2.2399800935020657,2.2184957018576754,0.38261780555388214
Tiger,tiger,Standard,Information,Approximate Entropy,0.0,Nominal,9,3.007363017332087,3.2427242949468904,0.26962067811892393
Tiger,tiger,Standard,Information,Approximate Entropy,0.025,Ambiguous,10,3.007363017332087,3.1642791425221892,0.2634725303438361
Tiger,tiger,Standard,Information,Approximate Entropy,0.1,Ambiguous,11,3.007363017332087,3.1564049411345474,0.30475449140409466
Tiger,tiger,Standard,Information,Approximate Entropy,0.3,Ambiguous,12,3.007363017332087,3.0394944974903697,0.1646697783653049
Tiger,tiger,Robust,Standard,NA,0.025,Nominal,13,-0.3722165213669186,4.433880794822237,1.6543434743854841
Tiger,tiger,Robust,Standard,NA,0.025,Ambiguous,14,-0.3722165213669186,3.0339735541014474,2.9325049023986662
Tiger,tiger,Robust,Standard,NA,0.1,Nominal,15,-3.7747459411621094,-8.53314949972683,37.56262856444806
Tiger,tiger,Robust,Standard,NA,0.1,Ambiguous,16,-3.7747459411621094,-3.323352187703071,21.229584075400158
Tiger,tiger,Robust,Standard,NA,0.3,Nominal,17,-2.0775794952259945,-3.9999999999999987,0.0
Tiger,tiger,Robust,Standard,NA,0.3,Ambiguous,18,-2.0775794952259945,-3.9999999999999987,0.0
Tiger,tiger,Robust,Information,Simple,0.025,Nominal,19,2.023446789286992,2.3701836585659697,0.2813054692396146
Tiger,tiger,Robust,Information,Simple,0.025,Ambiguous,20,2.023446789286992,2.3475895887881877,0.2552223912851027
Tiger,tiger,Robust,Information,Simple,0.1,Nominal,21,1.3511972166029766,1.5963359054003496,0.43930784714061705
Tiger,tiger,Robust,Information,Simple,0.1,Ambiguous,22,1.3511972166029766,1.717063017121853,0.39269182138788933
Tiger,tiger,Robust,Information,Simple,0.3,Nominal,23,0.6742419001648903,4.968200782362372e-16,2.4598311543069817e-16
Tiger,tiger,Robust,Information,Simple,0.3,Ambiguous,24,0.6742419001648903,4.468981008867333e-16,2.2121708242968203e-16
Tiger,tiger,Robust,Information,Approximate Entropy,0.025,Nominal,25,2.899096365224551,3.135803837748617,0.25344563207658144
Tiger,tiger,Robust,Information,Approximate Entropy,0.025,Ambiguous,26,2.899096365224551,3.1353489168555404,0.17008331856270217
Tiger,tiger,Robust,Information,Approximate Entropy,0.1,Nominal,27,2.56518448751937,2.9264182629655586,0.13119304221826691
Tiger,tiger,Robust,Information,Approximate Entropy,0.1,Ambiguous,28,2.56518448751937,2.805376978884115,0.16322304050055123
Tiger,tiger,Robust,Information,Approximate Entropy,0.3,Nominal,29,2.4155684309777676,2.0735914071714827,0.04429757877359239
Tiger,tiger,Robust,Information,Approximate Entropy,0.3,Ambiguous,30,2.4155684309777676,2.046910298766118,0.013141782374339136
