ID,ExpValue,SimMean,SimStd,SimCI,SimPercentMean,SimPercentStd,SimPercentCI,SimProb
Nominal,4.327089130365008,4.675784782935408,0.4120189873113548,"(4.514108532314433, 4.837461033556384)",0.1413861386138614,0.03924340828238894,"(0.125987025203852, 0.1567852520238708)",Robust
Robust,2.232428082600289,3.929762402211644,0.3574746379993594,"(3.7894893542606956, 4.070035450162592)",0.22811881188118818,0.0577661471121379,"(0.20545137575438527, 0.2507862480079911)",Robust
OffNominal,3.29116022951646,3.755928876294602,0.3330912214790617,"(3.6252238809862183, 3.886633871602986)",0.16000000000000003,0.05799197341154501,"(0.13724394963330977, 0.1827560503666903)",Robust
