NominalSim,RobustSim,OffNominal
5.306588031444112,3.8271296512630633,3.6977145392996427
5.102960108892528,3.8542772882311813,3.8429341094740463
4.4550716697324875,3.808550102678191,4.295367538335397
4.592243128425629,3.674568485091223,4.495889860018325
4.794335589766206,4.489784634156414,4.2646183805800275
5.481190672045984,3.9853812029384104,4.073636743351177
5.192759502733167,4.345880640136135,4.241212330182345
5.200648939954526,3.7858380125894784,3.4516024890055332
5.075242890518426,3.272793057463436,4.3112456610392815
5.2626889824542,4.089168903670534,4.256805693164861
4.893223349501491,3.6353777627829316,4.015586427776248
5.36876575927673,3.5680477607046264,4.4864022225577065
4.328846527347469,3.7362371535413192,3.9598744562714168
4.996577336912295,3.646702338500493,4.000970977943182
5.3608659347993814,4.059633114178054,3.7301980704702142
4.991180276527337,3.7371129718700478,4.265199411753942
4.459186617156607,3.2505958697286914,4.49042289726892
4.979175611130965,3.5041176213592764,4.592052207085742
5.2209161144181655,4.354496784454919,4.193454555066569
4.729329808377044,4.559347222720406,3.9529335508482926
5.22120865887338,4.155366127373814,4.314879140730243
5.428000435081254,3.8240063749150703,3.704762831669968
5.385832063719957,3.443439392660029,4.211101979468812
5.110533351212144,3.745536471207482,3.609723899703708
5.499704907257176,4.404842260705763,4.007948359890673
